Local bytes written,COUNTERS,Combine output records,Combine input records,TRACKER_NAME,csource,capp,Map output bytes,Map input records,START_TIME,FINISH_TIME,HDFS bytes read,id,ctags,TASK_STATUS,TASKID,Map input bytes,STATE_STRING,Map output records
,1,0,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138280591,13192,1307525438852,1307525447355,,attempt_201106081729_0001_m_000045_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000045,138630987,hdfs://sr212:9000/user/lyan/rand10/part-00012:1207959552+138641112,13192
,1,0,0,tracker_sr221:localhost\.localdomain/127\.0\.0\.1:54988,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138270991,13206,1307525438504,1307525468626,,attempt_201106081729_0001_m_000046_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000046,138622519,hdfs://sr212:9000/user/lyan/rand10/part-00050:1207959552+138640797,13206
,1,0,0,tracker_sr221:localhost\.localdomain/127\.0\.0\.1:54988,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138282260,13190,1307525438546,1307525454434,,attempt_201106081729_0001_m_000047_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000047,138633780,hdfs://sr212:9000/user/lyan/rand10/part-00019:1207959552+138640510,13190
,1,0,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138289216,13174,1307525438993,1307525448289,,attempt_201106081729_0001_m_000048_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000048,138639928,hdfs://sr212:9000/user/lyan/rand10/part-00056:1207959552+138639977,13174
,1,0,0,tracker_sr216:localhost\.localdomain/127\.0\.0\.1:43445,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138278559,13174,1307525438739,1307525465401,,attempt_201106081729_0001_m_000049_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000049,138628811,hdfs://sr212:9000/user/lyan/rand10/part-00026:1207959552+138639885,13174
,1,0,0,tracker_sr221:localhost\.localdomain/127\.0\.0\.1:54988,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138284746,13223,1307525438582,1307525449465,,attempt_201106081729_0001_m_000050_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000050,138635010,hdfs://sr212:9000/user/lyan/rand10/part-00002:1207959552+138639825,13223
,1,0,0,tracker_sr216:localhost\.localdomain/127\.0\.0\.1:43445,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138286991,13192,1307525438796,1307525446804,,attempt_201106081729_0001_m_000051_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000051,138636667,hdfs://sr212:9000/user/lyan/rand10/part-00042:1207959552+138638861,13192
,1,0,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138283876,13257,1307525439161,1307525446782,,attempt_201106081729_0001_m_000052_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000052,138636412,hdfs://sr212:9000/user/lyan/rand10/part-00060:1207959552+138638793,13257
,1,0,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138286896,13168,1307525439304,1307525470028,,attempt_201106081729_0001_m_000053_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000053,138636540,hdfs://sr212:9000/user/lyan/rand10/part-00037:1207959552+138637989,13168
,1,0,0,tracker_sr217:localhost\.localdomain/127\.0\.0\.1:44223,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138280640,13097,1307525438439,1307525452459,,attempt_201106081729_0001_m_000054_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000054,138628636,hdfs://sr212:9000/user/lyan/rand10/part-00014:1207959552+138637791,13097
,1,0,0,tracker_sr216:localhost\.localdomain/127\.0\.0\.1:43445,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138279195,13132,1307525438870,1307525448242,,attempt_201106081729_0001_m_000055_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000055,138628191,hdfs://sr212:9000/user/lyan/rand10/part-00057:1207959552+138636159,13132
,1,0,0,tracker_sr221:localhost\.localdomain/127\.0\.0\.1:54988,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138283735,13094,1307525438664,1307525466455,,attempt_201106081729_0001_m_000056_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000056,138632807,hdfs://sr212:9000/user/lyan/rand10/part-00017:1207959552+138635658,13094
,1,0,0,tracker_sr217:localhost\.localdomain/127\.0\.0\.1:44223,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138282833,13200,1307525438490,1307525449726,,attempt_201106081729_0001_m_000057_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000057,138633813,hdfs://sr212:9000/user/lyan/rand10/part-00024:1207959552+138635203,13200
,1,0,0,tracker_sr221:localhost\.localdomain/127\.0\.0\.1:54988,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138284964,13111,1307525438812,1307525459365,,attempt_201106081729_0001_m_000058_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000058,138634252,hdfs://sr212:9000/user/lyan/rand10/part-00003:1207959552+138634995,13111
,1,0,0,tracker_sr215:localhost\.localdomain/127\.0\.0\.1:49202,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138278154,13084,1307525438362,1307525451786,,attempt_201106081729_0001_m_000059_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000059,138627246,hdfs://sr212:9000/user/lyan/rand10/part-00005:1207959552+138633350,13084
,1,0,0,tracker_sr215:localhost\.localdomain/127\.0\.0\.1:49202,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138282333,13100,1307525438394,1307525450430,,attempt_201106081729_0001_m_000060_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000060,138631233,hdfs://sr212:9000/user/lyan/rand10/part-00035:1207959552+138631718,13100
,1,0,0,tracker_sr221:localhost\.localdomain/127\.0\.0\.1:54988,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138268836,13099,1307525438921,1307525448159,,attempt_201106081729_0001_m_000061_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000061,138617668,hdfs://sr212:9000/user/lyan/rand10/part-00008:1207959552+138629789,13099
,1,0,0,tracker_sr221:localhost\.localdomain/127\.0\.0\.1:54988,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138278415,13120,1307525438981,1307525450579,,attempt_201106081729_0001_m_000062_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000062,138627735,hdfs://sr212:9000/user/lyan/rand10/part-00000:1207959552+138629352,13120
