Timestamp,%util,avgrq-sz,await,capp,csource,ctags,device,r/s,rkB/s,rrqm/s,svctm,w/s,wkB/s,wrqm/s
1307525523,0.00,42.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,0.80,16.80,3.40
1307525523,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525523,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525528,0.00,56.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,0.40,11.18,2.40
1307525528,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525528,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525528,0.00,17.33,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,1.20,10.38,1.40
1307525533,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525533,0.00,34.67,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,0.60,10.40,2.00
1307525533,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525533,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525538,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525538,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525538,0.00,98.67,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,1.80,88.80,20.40
1307525538,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525543,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525543,0.08,18.00,2.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,1.00,0.80,7.20,1.00
1307525543,0.56,28.00,18.67,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,4.67,1.20,16.80,3.00
1307525543,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525548,0.00,13.33,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,0.60,3.99,0.40
1307525548,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525548,0.08,22.67,0.67,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.67,1.20,13.57,2.20
1307525548,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525553,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525553,0.00,16.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,0.80,6.40,0.80
1307525553,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525553,0.00,17.60,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,2.00,17.60,2.40
1307525558,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525558,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525558,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525558,0.00,52.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,0.40,10.38,2.20
1307525563,0.00,11.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,1.60,8.80,0.60
1307525563,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525563,0.00,26.29,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,1.40,18.40,3.20
1307525563,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525568,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525568,0.00,8.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,0.20,0.80,0.00
1307525568,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525568,0.08,48.00,2.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,2.00,0.40,9.58,2.00
1307525573,0.00,32.89,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,1.80,29.60,5.60
1307525573,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525573,0.08,8.00,4.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,4.00,0.20,0.80,0.00
