Timestamp,capp,category,csource,ctags,hostName,shuffle_failed_outputs,shuffle_handler_busy_percent,shuffle_output_bytes,shuffle_success_outputs
1307525819,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525829,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525839,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525849,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525859,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525869,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525879,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525889,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525899,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525909,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525919,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525929,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525939,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525949,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525959,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525969,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525979,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525989,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525999,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307526009,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
