Local bytes written,COUNTERS,Combine output records,Combine input records,csource,capp,Map output bytes,Map input records,START_TIME,FINISH_TIME,HDFS bytes read,id,SPLITS,ctags,TASK_STATUS,TASK_TYPE,Map input bytes,Map output records
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133877709,12718,1307525504856,1307525533345,,task_201106081729_0001_m_000533,/default-rack/sr222;/default-rack/sr214;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,134215873,12718
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133886902,12724,1307525507347,1307525563397,,task_201106081729_0001_m_000534,/default-rack/sr222;/default-rack/sr214;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,134226014,12724
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133878862,12662,1307525507347,1307525560388,,task_201106081729_0001_m_000535,/default-rack/sr214;/default-rack/sr219;/default-rack/sr222, cluster="chukwa",SUCCESS,MAP,134215638,12662
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133879575,12809,1307525507869,1307525546637,,task_201106081729_0001_m_000536,/default-rack/sr214;/default-rack/sr222;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,134220167,12809
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133879356,12760,1307525507869,1307525546637,,task_201106081729_0001_m_000537,/default-rack/sr222;/default-rack/sr217;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,134218296,12760
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133866214,12909,1307525507870,1307525565745,,task_201106081729_0001_m_000538,/default-rack/sr216;/default-rack/sr222;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,134208706,12909
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133874587,12832,1307525507870,1307525565745,,task_201106081729_0001_m_000539,/default-rack/sr221;/default-rack/sr214;/default-rack/sr222, cluster="chukwa",SUCCESS,MAP,134215523,12832
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133883531,12761,1307525507870,1307525560534,,task_201106081729_0001_m_000540,/default-rack/sr222;/default-rack/sr214;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,134222879,12761
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133887439,12719,1307525514346,1307525542034,,task_201106081729_0001_m_000541,/default-rack/sr214;/default-rack/sr215;/default-rack/sr217, cluster="chukwa",SUCCESS,MAP,134226431,12719
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133876505,12767,1307525513702,1307525563398,,task_201106081729_0001_m_000542,/default-rack/sr215;/default-rack/sr219;/default-rack/sr222, cluster="chukwa",SUCCESS,MAP,134216061,12767
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133876937,12692,1307525514346,1307525539026,,task_201106081729_0001_m_000543,/default-rack/sr214;/default-rack/sr215;/default-rack/sr217, cluster="chukwa",SUCCESS,MAP,134214153,12692
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133881771,12852,1307525523842,1307525545049,,task_201106081729_0001_m_000544,/default-rack/sr215;/default-rack/sr221;/default-rack/sr217, cluster="chukwa",SUCCESS,MAP,134222507,12852
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133879236,12718,1307525514918,1307525561693,,task_201106081729_0001_m_000545,/default-rack/sr221;/default-rack/sr215;/default-rack/sr214, cluster="chukwa",SUCCESS,MAP,134218220,12718
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133879350,12686,1307525523842,1307525599934,,task_201106081729_0001_m_000546,/default-rack/sr215;/default-rack/sr221;/default-rack/sr217, cluster="chukwa",SUCCESS,MAP,134216058,12686
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133877348,12691,1307525510898,1307525575440,,task_201106081729_0001_m_000547,/default-rack/sr216;/default-rack/sr215;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,134214696,12691
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133888950,12670,1307525523842,1307525545049,,task_201106081729_0001_m_000548,/default-rack/sr215;/default-rack/sr221;/default-rack/sr222, cluster="chukwa",SUCCESS,MAP,134226650,12670
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133867725,12721,1307525520662,1307525561693,,task_201106081729_0001_m_000549,/default-rack/sr214;/default-rack/sr215;/default-rack/sr221, cluster="chukwa",SUCCESS,MAP,134205093,12721
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133888816,12716,1307525520662,1307525548217,,task_201106081729_0001_m_000550,/default-rack/sr217;/default-rack/sr215;/default-rack/sr214, cluster="chukwa",SUCCESS,MAP,134225864,12716
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133884965,12774,1307525511450,1307525540114,,task_201106081729_0001_m_000551,/default-rack/sr217;/default-rack/sr219;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,134225337,12774
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133867292,12748,1307525523843,1307525558891,,task_201106081729_0001_m_000552,/default-rack/sr217;/default-rack/sr221;/default-rack/sr215, cluster="chukwa",SUCCESS,MAP,134206176,12748
