Timestamp,%idle,%iowait,%nice,%steal,%system,%user,capp,csource,ctags
1307525928,99.91,0.00,0.00,0.00,0.04,0.05,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525933,99.88,0.00,0.00,0.00,0.04,0.09,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525938,99.86,0.00,0.00,0.00,0.04,0.10,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525943,99.94,0.00,0.00,0.00,0.02,0.04,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525948,99.89,0.00,0.00,0.00,0.02,0.09,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525953,99.93,0.00,0.00,0.00,0.02,0.05,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525958,99.91,0.00,0.00,0.00,0.02,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525963,99.66,0.00,0.00,0.00,0.01,0.32,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525968,99.88,0.00,0.00,0.00,0.04,0.09,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525973,99.90,0.00,0.00,0.00,0.04,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525978,99.89,0.00,0.00,0.00,0.04,0.07,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525983,99.93,0.00,0.00,0.00,0.01,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525988,99.81,0.02,0.00,0.00,0.04,0.12,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525993,99.91,0.00,0.00,0.00,0.04,0.05,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525998,99.91,0.00,0.00,0.00,0.02,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526003,99.79,0.00,0.00,0.00,0.02,0.19,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526008,99.90,0.00,0.00,0.00,0.04,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526013,99.59,0.00,0.00,0.00,0.07,0.34,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526018,99.90,0.02,0.00,0.00,0.02,0.05,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526023,99.93,0.00,0.00,0.00,0.01,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526028,99.88,0.00,0.00,0.00,0.05,0.07,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526033,99.90,0.00,0.00,0.00,0.02,0.07,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526038,99.88,0.01,0.00,0.00,0.02,0.09,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526043,99.84,0.06,0.00,0.00,0.04,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526048,99.90,0.01,0.00,0.00,0.04,0.05,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526053,99.88,0.00,0.00,0.00,0.06,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526058,99.86,0.00,0.00,0.00,0.02,0.11,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526063,99.91,0.00,0.00,0.00,0.02,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526068,99.90,0.01,0.00,0.00,0.01,0.07,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526073,99.78,0.00,0.00,0.00,0.02,0.20,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307526078,99.91,0.00,0.00,0.00,0.03,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
